2024-03-04 07:59:39 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-03-04 07:59:39 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer using Java 21 with PID 9609 (/Users/binayshah/Downloads/microservices-demo/config-server/target/classes started by binayshah in /Users/binayshah/Downloads/microservices-demo)
2024-03-04 07:59:39 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2024-03-04 07:59:40 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=7b372d01-c8f2-376f-8f36-30e28e2f9671
2024-03-04 07:59:40 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8888 (http)
2024-03-04 07:59:40 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2024-03-04 07:59:40 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-03-04 07:59:40 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-03-04 07:59:40 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-03-04 07:59:40 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 657 ms
2024-03-04 07:59:40 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@646cd766, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@57151b3a, org.springframework.security.web.context.SecurityContextHolderFilter@49580ca8, org.springframework.security.web.header.HeaderWriterFilter@58687fb7, org.springframework.web.filter.CorsFilter@26457986, org.springframework.security.web.authentication.logout.LogoutFilter@6f85ee02, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7558c24b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@42fc4ac4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@20a24edf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2dff7085, org.springframework.security.web.access.ExceptionTranslationFilter@7c7e73c5, org.springframework.security.web.access.intercept.AuthorizationFilter@33d7765a]
2024-03-04 07:59:44 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2024-03-04 07:59:44 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8888 (http) with context path ''
2024-03-04 07:59:44 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 5.341 seconds (process running for 5.807)
2024-03-04 08:01:08 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-04 08:01:08 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-03-04 08:01:08 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-03-04 08:01:10 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/nq/23vy_84n6cd2g08bhchqzy_r0000gp/T/config-repo-12031583400299473004/config-client.yml]' via location 'file:/var/folders/nq/23vy_84n6cd2g08bhchqzy_r0000gp/T/config-repo-12031583400299473004/'
2024-03-04 08:01:12 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/nq/23vy_84n6cd2g08bhchqzy_r0000gp/T/config-repo-12031583400299473004/config-client-twitter_to_kafka.yml]' via location 'file:/var/folders/nq/23vy_84n6cd2g08bhchqzy_r0000gp/T/config-repo-12031583400299473004/'
2024-03-04 08:01:12 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/nq/23vy_84n6cd2g08bhchqzy_r0000gp/T/config-repo-12031583400299473004/config-client.yml]' via location 'file:/var/folders/nq/23vy_84n6cd2g08bhchqzy_r0000gp/T/config-repo-12031583400299473004/'
